id,message,label,scam_type,source_channel,language,contains_url,contains_amount,expected_risk,notes
MSG-0001,Your bank account will be blocked today. Click http://reward-claim-now.fake immediately to update your KYC.,scam,kyc_phishing,whatsapp,en,yes,no,high,synthetic_training_example
MSG-0002,Your salary of ₹5000 has been credited to your bank account ending 1920.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0003,Your parcel is held at customs. Pay ₹99 clearance charge here: http://upi-block-alert.fake,scam,delivery_scam,whatsapp,en,yes,yes,high,synthetic_training_example
MSG-0004,Your Amazon order #927524 has been delivered successfully.,safe,none,sms,en,no,no,low,safe_delivery
MSG-0005,Your refund of ₹999 has been processed to your original payment method.,safe,none,sms,en,no,yes,low,safe_ecommerce
MSG-0006,Invest ₹5000 and receive fixed daily profit. No risk. Contact now.,scam,investment_scam,sms,en,no,yes,high,synthetic_training_example
MSG-0007,Reminder: your leave request has been approved by your manager.,safe,none,email,en,no,no,low,safe_office
MSG-0008,Your flight check-in is now open. Use the airline website or app.,safe,none,email,en,no,no,low,safe_travel
MSG-0009,School fee receipt for ₹25000 has been generated successfully.,safe,none,email,en,no,yes,low,safe_school
MSG-0010,Your salary of ₹999 has been credited to your bank account ending 2617.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0011,"I am stuck at airport. Send ₹999 now, cannot call.",scam,social_engineering,whatsapp,en,no,yes,high,synthetic_training_example
MSG-0012,Your shipment is suspended. Confirm PAN and address here http://parcel-clearance-pay.invalid,scam,delivery_scam,email,en,yes,no,high,synthetic_training_example
MSG-0013,The project sync has moved to 4 PM. Please join the usual meeting link.,safe,none,email,en,no,no,low,safe_meeting
MSG-0014,Transfer ₹99 processing fee first. Your grant payment will be credited after verification.,scam,advance_fee_fraud,email,en,no,yes,high,synthetic_training_example
MSG-0015,Your appointment with Dr. Sen is confirmed for 28 May at 2 PM.,safe,none,sms,en,no,no,low,safe_health
MSG-0016,"Suman, please review the document before today's standup.",safe,none,email,en,no,no,low,safe_office
MSG-0017,Your OTP for login is 788108. Do not share it with anyone.,safe,none,sms,en,no,no,low,safe_banking
MSG-0018,Electricity connection will be disconnected tonight. Pay bill immediately at http://sbi-verify-login.fake,scam,electricity_bill_scam,email,en,yes,no,high,synthetic_training_example
MSG-0019,Send small refundable fee ₹2499 to confirm your beneficiary account.,scam,advance_fee_fraud,email,en,no,yes,high,synthetic_training_example
MSG-0020,Your card payment of ₹1499 at Reliance Digital was successful.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0021,Electricity department notice: pay reconnection charge ₹499 now.,scam,electricity_bill_scam,email,en,no,yes,medium,synthetic_training_example
MSG-0022,Invest ₹50000 and receive fixed daily profit. No risk. Contact now.,scam,investment_scam,whatsapp,en,no,yes,high,synthetic_training_example
MSG-0023,This is RBI support. Your account is under review. Verify details at http://bank-kyc-update.invalid,scam,impersonation,email,en,yes,no,high,synthetic_training_example
MSG-0024,Your Flipkart order #296494 has been delivered successfully.,safe,none,sms,en,no,no,low,safe_delivery
MSG-0025,Your claim is approved. Pay service tax ₹799 to receive ₹5000.,scam,advance_fee_fraud,whatsapp,en,no,yes,high,synthetic_training_example
MSG-0026,"Your loan is ready. Click http://parcel-clearance-pay.invalid and upload Aadhaar, PAN, bank details immediately.",scam,loan_scam,whatsapp,en,yes,no,high,synthetic_training_example
MSG-0027,Your salary of ₹50000 has been credited to your bank account ending 4217.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0028,Share your OTP 229988 immediately to stop account suspension.,scam,otp_theft,email,en,no,no,high,synthetic_training_example
MSG-0029,Your refund of ₹1499 has been processed to your original payment method.,safe,none,sms,en,no,yes,low,safe_ecommerce
MSG-0030,Reminder: your leave request has been approved by your manager.,safe,none,email,en,no,no,low,safe_office
MSG-0031,"New login detected on your account. If this was not you, change your password from the official app.",safe,none,email,en,no,no,low,safe_security_alert
MSG-0032,"Suman, please review the document before today's standup.",safe,none,email,en,no,no,low,safe_office
MSG-0033,Your flight check-in is now open. Use the airline website or app.,safe,none,email,en,no,no,low,safe_travel
MSG-0034,Reminder: your leave request has been approved by your manager.,safe,none,email,en,no,no,low,safe_office
MSG-0035,Your cab booking is confirmed. Driver details will be shared before pickup.,safe,none,sms,en,no,no,low,safe_travel
MSG-0036,Payment received for your broadband bill. Thank you.,safe,none,sms,en,no,no,low,safe_utility
